fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,alcohol,quality
7.4,0.7,0.0,0.076,34.0,0.9978,0.56,9.4,5
7.8,0.88,0.0,0.098,67.0,0.9968,0.68,9.8,5
7.8,0.76,0.04,0.092,54.0,0.997,0.65,9.8,5
11.2,0.28,0.56,0.075,60.0,0.998,0.58,9.8,6
7.4,0.7,0.0,0.076,34.0,0.9978,0.56,9.4,5
7.4,0.66,0.0,0.075,40.0,0.9978,0.56,9.4,5
7.9,0.6,0.06,0.069,59.0,0.9964,0.46,9.4,5
7.3,0.65,0.0,0.065,21.0,0.9946,0.47,10.0,7
7.8,0.58,0.02,0.073,18.0,0.9968,0.57,9.5,7
7.5,0.5,0.36,0.071,102.0,0.9978,0.8,10.5,5
6.7,0.58,0.08,0.0969999999999999,65.0,0.9959,0.54,9.2,5
7.5,0.5,0.36,0.071,102.0,0.9978,0.8,10.5,5
5.6,0.615,0.0,0.089,59.0,0.9943,0.52,9.9,5
7.8,0.61,0.29,0.114,29.0,0.9974,1.56,9.1,5
8.9,0.62,0.18,0.176,145.0,0.9986,0.88,9.2,5
8.9,0.62,0.19,0.17,148.0,0.9986,0.93,9.2,5
8.5,0.28,0.56,0.092,103.0,0.9969,0.75,10.5,7
8.1,0.56,0.28,0.368,56.0,0.9968,1.28,9.3,5
7.4,0.59,0.08,0.086,29.0,0.9974,0.5,9.0,4
7.9,0.32,0.51,0.341,56.0,0.9969,1.08,9.2,6
8.9,0.22,0.48,0.077,60.0,0.9968,0.53,9.4,6
7.6,0.39,0.31,0.0819999999999999,71.0,0.9982,0.65,9.7,5
7.9,0.43,0.21,0.106,37.0,0.9966,0.91,9.5,5
8.5,0.49,0.11,0.084,67.0,0.9968,0.53,9.4,5
6.9,0.4,0.14,0.085,40.0,0.9968,0.63,9.7,6
6.3,0.39,0.16,0.08,23.0,0.9955,0.56,9.3,5
7.6,0.41,0.24,0.08,11.0,0.9962,0.59,9.5,5
7.9,0.43,0.21,0.106,37.0,0.9966,0.91,9.5,5
7.1,0.71,0.0,0.08,35.0,0.9972,0.55,9.4,5
7.8,0.645,0.0,0.0819999999999999,16.0,0.9964,0.59,9.8,6
6.7,0.675,0.07,0.089,82.0,0.9958,0.54,10.1,5
6.9,0.685,0.0,0.105,37.0,0.9966,0.57,10.6,6
8.3,0.655,0.12,0.083,113.0,0.9966,0.66,9.8,5
6.9,0.605,0.12,0.073,83.0,0.9993,0.52,9.4,6
5.2,0.32,0.25,0.103,50.0,0.9957,0.55,9.2,5
7.8,0.645,0.0,0.086,18.0,0.9986,0.55,9.6,6
7.8,0.6,0.14,0.086,15.0,0.9975,0.6,10.8,6
8.1,0.38,0.28,0.066,30.0,0.9968,0.73,9.7,7
5.7,1.13,0.09,0.172,19.0,0.994,0.48,9.8,4
7.3,0.45,0.36,0.074,87.0,0.9978,0.83,10.5,5
7.3,0.45,0.36,0.074,87.0,0.9978,0.83,10.5,5
8.8,0.61,0.3,0.088,46.0,0.9976,0.51,9.3,4
7.5,0.49,0.2,0.332,14.0,0.9968,0.9,10.5,6
8.1,0.66,0.22,0.069,23.0,0.9968,1.2,10.3,5
6.8,0.67,0.02,0.05,11.0,0.9962,0.52,9.5,5
4.6,0.52,0.15,0.054,65.0,0.9934,0.56,13.1,4
7.7,0.935,0.43,0.114,114.0,0.997,0.73,9.2,5
8.7,0.29,0.52,0.113,37.0,0.9969,0.58,9.5,5
6.4,0.4,0.23,0.066,12.0,0.9958,0.56,9.2,5
5.6,0.31,0.37,0.074,96.0,0.9954,0.58,9.2,5
8.8,0.66,0.26,0.074,23.0,0.9971,0.74,9.2,5
6.6,0.52,0.04,0.069,15.0,0.9956,0.63,9.4,6
6.6,0.5,0.04,0.068,14.0,0.9955,0.64,9.4,6
8.6,0.38,0.36,0.081,119.0,0.997,0.56,9.4,5
7.6,0.51,0.15,0.11,73.0,0.9955,0.63,10.2,6
7.7,0.62,0.04,0.084,45.0,0.9978,0.53,9.5,5
10.2,0.42,0.57,0.07,10.0,0.9971,0.63,9.6,5
7.5,0.63,0.12,0.111,110.0,0.9983,0.77,9.4,5
7.8,0.59,0.18,0.076,54.0,0.9975,0.59,10.0,5
7.3,0.39,0.31,0.074,46.0,0.9962,0.54,9.4,6
8.8,0.4,0.4,0.079,52.0,0.998,0.64,9.2,5
7.7,0.69,0.49,0.115,112.0,0.9968,0.71,9.3,5
7.5,0.52,0.16,0.085,35.0,0.9968,0.62,9.5,7
7.0,0.735,0.05,0.081,54.0,0.9966,0.57,9.8,5
7.2,0.725,0.05,0.086,11.0,0.9962,0.39,10.9,5
7.2,0.725,0.05,0.086,11.0,0.9962,0.39,10.9,5
7.5,0.52,0.11,0.079,39.0,0.9968,0.58,9.6,5
6.6,0.705,0.07,0.076,15.0,0.9962,0.58,10.7,5
9.3,0.32,0.57,0.074,65.0,0.9969,0.79,10.7,5
8.0,0.705,0.05,0.074,19.0,0.9962,0.95,10.5,6
7.7,0.63,0.08,0.076,27.0,0.9967,0.54,9.5,6
7.7,0.67,0.23,0.088,96.0,0.9962,0.48,9.5,5
7.7,0.69,0.22,0.084,94.0,0.9961,0.48,9.5,5
8.3,0.675,0.26,0.084,43.0,0.9976,0.53,9.2,4
9.7,0.32,0.54,0.094,83.0,0.9984,0.82,9.6,5
8.8,0.41,0.64,0.093,42.0,0.9986,0.66,10.5,5
8.8,0.41,0.64,0.093,42.0,0.9986,0.66,10.5,5
6.8,0.785,0.0,0.104,30.0,0.9966,0.55,10.7,6
6.7,0.75,0.12,0.086,80.0,0.9958,0.52,10.1,5
8.3,0.625,0.2,0.08,119.0,0.9972,1.12,9.1,4
6.2,0.45,0.2,0.069,15.0,0.9958,0.56,9.2,5
7.8,0.43,0.7,0.4639999999999999,67.0,0.9974,1.28,9.4,5
7.4,0.5,0.47,0.086,73.0,0.997,0.57,9.1,5
7.3,0.67,0.26,0.401,51.0,0.9969,1.14,9.4,5
6.3,0.3,0.48,0.069,61.0,0.9959,0.78,10.3,6
6.9,0.55,0.15,0.076,40.0,0.9961,0.59,10.1,5
8.6,0.49,0.28,0.11,136.0,0.9972,1.95,9.9,6
7.7,0.49,0.26,0.062,31.0,0.9966,0.64,9.6,5
9.3,0.39,0.44,0.107,125.0,0.9978,1.22,9.5,5
7.0,0.62,0.08,0.076,24.0,0.9978,0.53,9.0,5
7.9,0.52,0.26,0.079,140.0,0.9964,0.54,9.5,5
8.6,0.49,0.28,0.11,136.0,0.9972,1.95,9.9,6
8.6,0.49,0.29,0.11,133.0,0.9972,1.98,9.8,5
7.7,0.49,0.26,0.062,31.0,0.9966,0.64,9.6,5
5.0,1.02,0.04,0.045,85.0,0.9938,0.48,10.5,4
4.7,0.6,0.17,0.0579999999999999,106.0,0.9932,0.6,12.9,6
6.8,0.775,0.0,0.102,23.0,0.9965,0.56,10.7,5
7.0,0.5,0.25,0.07,22.0,0.9963,0.63,9.2,5
7.6,0.9,0.06,0.079,10.0,0.9967,0.56,9.8,5
